latitude,longitude,weight
58.10426,8.09539,1
60.53264,5.26324,15
57.98154,7.6002,1
58.00727,7.39502,1
58.00717,7.39761,1
58.09397,8.00697,1
58.05508,8.01623,1
58.00764,7.39381,1
57.98148,7.59931,1
58.00765,7.39427,1
58.00752,7.39481,1
58.0075,7.39542,1
58.00744,7.39612,1
58.00741,7.39688,1
57.99931,7.54249,1
58.04844,7.78132,28
58.00592,7.50246,1
59.24828,5.85329,1
58.07667,8.01343,1
57.9808,7.60393,1
58.03234,7.22129,1
58.22416,8.38994,1
58.41815,8.78049,1
57.9797,7.60603,1
58.00035,7.3563,1
58.07653,8.01142,1
58.12065,7.04715,1
58.0782,8.01188,1
57.99056,7.5514,1
58.05572,7.85451,1
60.42136,5.08762,32
58.30721,8.58283,8
58.08037,7.97223,10
58.09455,7.99454,5
58.06251,8.02018,11
58.43679,8.80403,55
59.6747,10.56643,3
58.41638,6.00503,1
58.00706,7.7222,1
58.09356,7.97861,2
58.07404,8.00774,5
58.00145,7.62514,56
58.43113,8.79902,3
58.42924,8.80032,12
58.09557,7.98634,13
58.09648,7.98674,13
58.07963,8.00516,5
58.07877,8.0085,5
58.04179,7.67336,1
58.98334,10.20856,1
58.05644,7.79927,1
58.0744,8.03388,1
58.07544,8.03285,1
58.01091,7.43759,1
58.01108,7.4377,1
58.011,7.43776,1
58.05647,7.79925,1
58.06683,7.85483,1
58.06651,7.85373,1
58.04203,7.67203,1
58.10795,8.09388,1
59.42544,5.23936,1
63.43247,9.09129,1
63.4312,9.08953,1
58.00496,7.44186,1
58.10623,8.15646,1
58.11499,8.16796,1
58.11612,8.16334,1
57.9859,7.56611,1
57.98622,7.56454,1
57.98662,7.5662,1
58.08218,6.82474,1
58.05638,7.79833,1
58.0563,7.79847,1
58.05661,7.80068,1
58.11454,8.16354,1
58.07684,8.01339,1
58.05633,7.79912,1
58.05625,7.79816,1
58.0567,7.80309,1
58.33613,8.597,1
58.09454,6.80638,1
58.06457,8.03128,1
58.11112,8.05467,1
58.11048,7.99653,1
58.11005,7.99531,1
58.11117,7.99296,1
58.07538,8.0338,1
58.01024,7.4375,1
58.0042,7.44251,1
58.08143,6.83319,1
58.52164,8.94205,1
58.52232,8.94214,1
58.12,8.06871,1
58.05068,7.72603,1
58.11046,8.05467,1
58.0673,8.03222,1
58.06652,7.88765,2
58.06628,7.88835,2
58.41977,8.77117,5
58.50948,8.92345,5
58.41801,8.7816,5
58.51496,8.92356,29
58.09203,8.01183,4
58.02062,7.72331,9
58.04933,7.77807,40
58.04878,7.7749,40
58.4737,8.82652,28
58.48652,8.85241,9
58.49955,8.88969,3
58.393,8.72919,12
61.06968,5.07719,5
58.04787,7.86865,28
57.99463,7.09275,55
58.10697,6.85301,23
58.40052,8.78898,9
58.40477,5.99131,3
59.88974,10.63427,1
60.55987,5.22552,1
61.59458,4.96733,1
58.05703,7.78052,1
57.98183,7.59968,1
57.98187,7.6004,1
58.0268,7.69388,1
60.31738,5.21202,1
58.05814,7.77725,42
58.07665,7.96926,60
58.04886,7.77061,5
58.04945,7.7697,5
58.07247,7.69446,44
58.11451,8.10836,7
58.1737,8.30175,9
58.07573,8.01428,14
58.45767,8.77806,10
58.084,8.03151,5
60.65561,4.9092,5
58.14301,8.04061,8
58.06839,8.01761,49
60.36521,6.16222,12
58.04661,7.74792,12
59.4053,5.2535,44
58.43426,8.79455,12
58.05282,7.75988,53
58.11539,8.05449,15
58.0884,8.02524,49
60.36642,6.26726,12
58.71803,9.24087,12
58.43669,8.8016,55
58.08343,7.98545,2
58.07988,7.94417,15
58.08615,7.9909,68
58.0865,7.9867,19
58.0861,7.98685,19
58.05957,7.74676,11
58.0286,7.70436,8
58.06448,7.76767,20
60.58214,5.39287,5
58.93427,9.6466,6
58.93837,9.6684,2
63.25038,8.14472,29
58.51808,8.9418,4
60.16695,5.19081,2
59.08665,5.45124,17
59.80296,5.74148,11
59.06841,10.25192,8
60.04444,5.44329,9
58.98033,5.92756,12
63.55425,9.36864,7
58.97133,5.97063,4
58.92505,5.57096,2
60.17849,5.11531,3
61.55865,4.97934,4
58.7311,9.28231,73
60.3096,4.96951,2
58.92752,9.61507,1
58.83655,9.47857,1
62.39182,6.41119,27
58.95378,9.65986,4
58.90757,9.60426,52
59.72481,5.30304,1
60.32748,5.15339,2
70.87005,27.50583,14
68.92268,16.33771,4
58.09668,8.09254,3
60.64965,5.12496,4
59.35089,5.309,2
60.1665,5.30541,3
58.19713,6.61987,6
70.24181,19.3174,4
59.27497,5.32926,80
59.79822,5.33047,25
60.72463,4.85538,20
61.22159,7.10647,24
62.38896,5.80671,13
60.06326,5.23252,6
69.24727,16.13958,100
58.07564,6.83046,2
68.45279,17.51696,4
62.8349,7.10779,4
58.07894,8.01087,22
58.0787,8.0083,22
58.07924,8.00703,22
58.07743,8.01254,46
58.07715,8.01242,46
58.07691,8.01329,46
58.2663,8.51311,2
58.07451,8.00664,5
58.07864,8.00908,5
58.51865,8.9485,61
58.0727,8.00885,5
58.41885,5.99385,27
58.57725,9.04573,59
58.08321,7.98532,2
58.0722,7.87333,2
58.08428,8.03371,5
58.4333,8.79528,12
58.09061,8.02861,49
58.5123,8.93936,7
58.33423,8.60142,55
58.50643,8.91783,2
58.12975,8.09139,4
60.17654,5.11586,6
59.51757,5.47148,60
58.92643,9.63071,3
59.74499,5.97832,28
62.95542,7.46961,32
58.92623,9.64303,18
60.13074,5.41896,1
63.44406,8.58029,12
61.44683,5.53245,11
66.67782,13.3282,10
63.34891,10.03041,10
63.40982,8.40019,14
60.33687,5.17562,5
59.56005,5.27206,23
60.54085,5.27723,8
58.61055,9.04542,81
60.35443,5.68578,17
59.41656,10.59186,30
68.17601,15.70646,9
60.48764,4.92279,15
68.2187,14.82651,15
59.03967,9.76414,11
59.01508,6.02586,30
70.05751,29.8077,63
58.02506,7.45223,4
58.00844,7.19288,9
58.00847,7.19323,9
59.24784,10.47237,3
63.46512,10.39569,58
59.3689,5.20956,1
58.10685,8.09738,1
58.10784,8.09704,1
58.00416,7.4398,1
58.22744,8.39604,1
58.10671,8.09672,1
58.10399,8.09698,1
58.05539,7.81654,1
58.05045,7.72921,1
60.43369,5.07295,1
58.11232,8.05274,1
58.1124,8.05249,1
58.112,8.05314,1
58.06772,6.81955,1
58.06716,6.82099,1
60.58921,4.785,1
58.30652,8.54963,1
58.01229,7.36991,1
58.00506,7.37645,1
60.3833,6.71308,1
57.9937,7.36897,1
60.12012,5.16596,1
58.23345,8.39996,1
58.18856,8.3404,1
58.02552,7.29914,1
58.02618,7.31179,2
58.48206,8.92698,3
58.49259,8.87041,8
58.07188,7.87364,2
58.84912,6.19995,19
60.96795,5.12295,14
58.07124,8.05145,12
58.04937,7.78076,40
58.10963,8.11029,48
58.11596,8.05479,15
58.50277,8.89548,11
58.08693,8.0273,14
58.08331,7.9575,46
58.08307,7.98399,2
58.08559,7.98781,19
58.11183,8.16699,30
58.05058,7.78299,3
58.09588,8.03628,8
58.05046,7.7843,3
58.03712,7.15537,16
58.13037,8.01399,13
58.05045,7.76136,53
58.42763,8.79342,9
58.08416,8.03455,5
58.10538,8.06398,2
58.13486,8.05753,24
57.99245,7.08827,2
57.99243,7.0884,2
57.99255,7.08839,2
57.99244,7.08849,2
58.11509,8.06075,2
58.02516,6.99935,4
58.02509,6.99893,4
58.02714,7.00261,5
58.0503,7.7989,6
58.1463,8.03832,8
58.14681,8.03913,8
58.06136,7.78784,1
58.29566,8.56128,6
58.98584,5.77159,13
58.04594,7.83103,7
58.06956,8.01876,1
58.06156,7.79394,1
58.11273,8.00076,9
58.11307,7.99418,9
58.01947,7.81253,5
58.05518,7.80874,7
59.27407,5.82671,2
58.09475,7.98996,34
58.09489,7.9885,68
58.03422,7.68934,67
58.09072,6.8071,1
58.0389,7.70224,11
58.06913,7.87974,8
58.09535,7.99143,68
58.06956,8.01981,1
58.12856,8.01012,2
58.0912,6.81453,1
58.41378,8.75273,12
58.08309,6.80562,6
58.06344,6.82202,1
58.09362,6.81438,1
58.09014,6.81252,1
58.06392,7.87122,3
58.04268,7.72504,42
58.02705,7.79178,10
58.04484,7.70435,2
58.1072,7.04623,7
58.53774,8.99271,11
58.53672,8.99394,11
59.53763,10.55778,5
58.10826,8.11943,4
58.10838,8.11481,4
58.00185,7.61674,7
58.45929,8.77329,2
58.28507,8.58291,18
58.05394,7.86243,1
60.46217,5.06454,2
58.08845,6.80862,1
58.02336,7.73662,7
61.18456,6.81457,12
58.02863,7.77292,30
58.07584,7.92151,10
58.42195,8.77936,2
58.09385,7.98758,34
58.05629,7.74462,7
58.0795,7.925,8
58.07213,6.83552,4
58.50922,8.94871,5
58.03665,7.76242,3
58.10692,8.08876,8
58.07582,8.04759,3
58.07047,7.79851,2
58.05873,7.78116,4
58.12022,8.06833,2
58.43992,8.78125,2
58.08043,7.93212,7
60.43409,5.08594,8
58.05747,7.73668,1
58.04484,7.78595,8
58.04027,7.78354,8
58.45974,8.79557,5
58.06668,7.79504,2
58.11333,8.06158,2
58.10985,8.06191,1
58.10485,8.06858,1
58.10915,8.06525,1
59.01157,9.77149,1
60.20583,5.05019,1
60.15321,5.15635,1
59.00051,9.79101,1
58.04675,7.8068,1
58.05957,7.75822,1
58.07801,6.82576,1
58.07712,8.01227,1
58.05817,7.78008,4
58.54596,8.98937,6
60.45617,5.03264,8
58.42389,8.78663,5
58.44082,8.78566,87
58.52562,8.93664,15
58.13474,8.05206,32
58.43592,8.78654,34
58.10906,8.11223,4
58.43012,8.77377,5
58.08918,6.81223,1
58.14403,8.03605,8
58.2941,8.55559,6
58.93614,6.10441,26
58.00177,7.72216,3
58.07801,6.83268,1
58.11273,7.99604,9
58.04535,7.70423,2
58.10866,8.11833,1
58.1179,8.0743,2
58.0834,6.80325,6
58.14432,8.03957,8
59.86832,10.74683,2
58.08067,7.9257,8
58.52137,8.9805,1
58.10966,8.11458,4
58.10922,8.09341,8
58.60872,9.07053,15
58.05799,7.76198,18
58.42453,8.81802,7
58.33546,8.6345,4
58.12835,8.04461,2
60.47936,5.04089,3
58.05836,7.78856,2
58.08252,7.98744,4
58.00871,7.7235,3
58.24772,8.45876,4
58.05034,7.78379,3
58.07534,7.93102,119
58.05965,7.79823,48
58.07012,8.0184,1
58.06167,7.79321,1
58.04258,7.77493,12
58.11694,8.00894,3
58.43912,8.78508,87
58.0885,6.82835,3
58.1443,8.04317,8
58.04928,7.78307,3
58.13122,8.01548,13
60.36941,6.26064,6
58.47538,8.83046,28
60.36955,6.26033,12
60.36985,6.25946,12
60.36961,6.25919,12
60.37081,6.25738,12
58.06503,8.03007,19
58.48786,8.85678,9
58.06711,7.93259,19
58.0776,8.01261,46
58.71884,9.25887,12
59.04681,5.40694,56
60.13431,5.39408,16
57.98807,7.60265,23
58.10797,7.04734,15
58.43168,8.77851,41
58.03878,7.20016,11
58.00183,7.33574,21
57.99695,7.4226,16
58.00239,7.61954,20
58.03042,7.32711,3
58.00272,7.48224,2
58.00634,7.60698,1
58.00279,7.48225,2
58.10011,7.03614,15
57.99199,7.39036,6
64.51596,10.75858,59
57.9812,7.49977,17
58.09702,7.03254,15
58.10666,7.04599,15
60.3141,4.94938,43
58.8373,6.17188,46
59.48113,10.39657,62
58.00864,7.19376,13
58.01356,7.19437,15
58.01337,7.19403,15
58.01773,7.35601,1
58.08902,8.03327,12
58.00132,7.60964,3
58.83846,6.18236,92
58.02077,7.47713,5
58.07049,7.86535,3
58.05737,7.78109,4
58.23371,8.4232,18
58.04879,6.95363,5
58.10274,8.08542,1
58.10568,7.999,9
58.06191,7.78697,1
58.06096,7.79321,1
58.07203,6.83427,4
59.01434,10.08437,7
59.01452,10.08405,7
59.00063,9.78002,4
58.00242,7.40359,2
58.00273,7.40228,2
58.06103,7.75628,74
58.06307,7.79429,1
58.10675,8.08314,1
58.10337,8.08667,1
65.05441,11.74213,4
58.08765,7.98596,4
58.08035,8.05847,4
58.08801,7.98438,12
58.05315,7.78438,58
57.9944,7.09297,55
58.16466,8.31438,14
58.16551,8.31615,14
58.95738,6.16228,13
58.07302,7.94851,24
58.10454,8.06243,2
59.39808,5.62627,10
58.10408,8.1322,44
57.99332,7.34908,18
58.09516,8.01914,4
58.00816,7.47041,3
58.0082,7.471,3
58.00847,7.46898,3
57.98351,7.54316,37
57.98729,7.55508,9
58.08954,8.09849,4
58.34002,8.60084,4
59.08228,5.78658,62
59.08783,5.78436,62
57.99447,7.39712,5
59.12489,5.92608,91
59.03234,5.65342,52
58.23298,8.3995,11
58.03428,7.14774,16
58.47446,8.82943,28
58.47429,8.82845,28
58.27318,8.53749,53
58.11335,7.05659,35
58.08917,8.0977,4
58.43417,8.79498,12
58.47904,8.92315,3
58.06643,7.93518,19
58.10476,8.06204,2
58.03222,7.69971,8
58.12516,8.05962,6
60.9384,4.95493,5
58.2648,8.51112,2
58.09543,7.98159,2
58.13502,8.05644,24
59.03244,5.65424,52
57.99708,7.10729,55
58.47443,8.82883,28
58.06578,7.86126,18
58.11569,8.05365,15
59.41798,5.22187,3
58.42683,8.78759,9
58.07621,8.0141,14
58.13995,8.0407,8
58.72752,9.24429,12
60.36544,6.26695,12
58.09403,7.98005,8
58.09474,8.02143,35
58.1334,8.06724,3
58.13346,8.06702,3
60.46213,5.0459,48
58.08597,7.98765,19
58.0869,7.98541,19
58.05269,7.76143,53
58.02071,7.72295,9
58.06875,7.75743,7
58.14459,8.04094,8
58.05311,7.78495,3
58.0386,7.1554,16
59.39933,5.62642,10
58.2256,8.3845,20
58.09469,8.12599,18
58.0908,8.12485,18
58.00889,7.46881,3
58.00866,7.47206,3
57.99771,7.49701,26
57.99704,7.49586,26
58.02936,7.20851,40
58.02879,7.20703,40
58.02845,7.20575,40
58.45739,8.76652,5
58.45139,8.77343,11
59.05936,10.25909,2
58.01903,7.47931,12
60.37912,4.94649,2
58.13458,8.05966,24
58.13589,8.05651,24
58.13446,8.05832,24
58.02946,7.70383,8
58.11411,8.10797,7
58.12987,8.00647,22
58.2648,8.51182,2
58.26469,8.51222,2
58.0324,7.15029,16
58.0348,7.15269,16
58.02754,7.74036,23
58.01233,7.48716,103
58.11243,8.09987,29
60.43595,4.94459,10
58.07978,7.97347,3
58.02201,7.46032,12
58.01895,7.48024,12
60.37873,6.27236,12
60.37896,6.27768,12
58.06143,8.02727,19
58.02582,7.74086,23
58.02638,7.73961,23
58.0587,7.77562,42
58.04845,7.78085,40
58.10388,8.13406,44
58.10437,8.13822,44
58.10444,8.13449,44
58.47346,8.82656,28
58.08803,8.02592,49
58.45708,8.77811,10
58.4363,8.80823,55
58.04936,7.78295,3
58.08994,8.01286,4
58.09341,8.01367,4
58.05022,7.76763,5
58.13448,8.01304,13
58.07134,7.69523,44
58.10415,8.13908,44
58.10546,8.13522,44
58.04888,7.7803,40
58.04902,7.78069,40
58.52245,8.96356,12
58.4299,8.79323,9
58.42773,8.79341,9
58.08478,7.98933,10
58.072,7.92999,76
58.06204,8.02158,11
58.48136,8.92515,3
58.14179,8.04088,8
60.36431,6.27121,12
60.3698,6.25622,12
58.05764,7.77612,9
58.09195,8.02118,35
58.09451,8.02372,35
58.08213,7.95709,46
58.069,7.93553,19
58.07681,8.01273,46
58.00967,7.60037,78
59.00053,9.77986,4
58.99879,9.7796,4
58.46279,8.7862,7
58.07773,8.04783,3
58.10494,7.99704,9
59.41876,5.23831,2
58.06269,7.7874,1
58.04252,7.84262,5
58.10831,8.1213,4
58.11237,8.094,8
58.05648,7.7452,7
58.02451,7.73983,7
58.10805,8.12426,1
57.99948,7.44423,11
58.13812,8.04224,5
58.08984,6.80742,13
58.05334,7.76384,39
58.11818,8.0751,2
58.04301,7.73095,42
58.06617,7.88586,2
58.52204,8.98691,1
58.52224,8.98724,1
58.43456,8.78238,6
58.42995,8.77949,6
58.43438,8.78367,6
58.09545,7.9905,68
58.09545,7.9921,34
58.12979,8.04301,2
58.07278,8.04396,1
58.01642,7.67946,3
58.33328,8.63879,4
58.33367,8.63816,4
58.33472,8.63789,4
58.33409,8.63906,4
58.06631,7.88896,2
58.05143,7.81275,3
58.06734,7.96169,2
58.12843,8.01445,2
59.52102,10.61192,12
58.1135,8.08174,1
58.11133,8.08474,5
58.00731,7.73835,54
58.0961,7.98881,136
58.03917,7.70193,11
58.29328,8.55774,6
58.03937,7.70127,11
58.09654,7.99276,34
58.09619,7.99156,34
58.08277,6.79857,5
58.04008,7.70258,11
59.51088,7.47925,4
58.12878,8.046,2
57.98342,7.60253,56
57.98287,7.60306,56
57.98237,7.60386,56
58.03867,7.15497,1
60.40027,5.04941,1
58.42225,8.79494,7
57.99746,7.42526,2
58.13982,8.03481,5
58.06592,7.78854,34
58.0593,7.73901,1
58.05811,7.78605,4
58.32282,8.5796,53
58.12397,8.04778,2
58.06437,7.79467,1
58.05107,7.82383,1
58.05346,7.84374,6
58.05214,7.83705,6
58.05555,7.84639,6
58.0843,7.99292,7
58.06379,8.01456,5
58.19383,8.36275,13
58.05227,7.76277,39
58.43207,8.78089,6
58.04755,7.78263,27
58.07566,7.91767,8
59.98691,6.0039,8
58.33028,8.58986,2
58.04757,7.7822,27
58.04794,7.77959,27
58.04172,7.83796,5
58.08831,8.10025,4
58.0976,7.9901,34
58.0964,7.99076,34
58.0976,7.99396,34
58.0895,6.81328,1
58.11023,8.11316,4
58.04492,7.786,8
58.07803,7.92642,5
60.45639,5.03265,8
58.33451,8.63853,4
58.56521,9.00388,7
58.07681,7.80146,8
58.07251,8.02649,1
58.07396,8.02185,1
58.07437,8.02221,1
58.07525,8.02116,1
58.07314,8.02351,1
58.07297,8.02355,1
58.06402,8.01422,5
58.06407,8.01457,5
57.97965,7.56145,46
57.97958,7.56104,46
58.01814,7.36063,3
58.27446,6.65223,2
58.11197,7.99503,15
58.0281,6.99084,6
58.02799,6.99002,6
58.02738,6.9914,6
58.02812,6.99266,6
58.00159,7.62493,112
59.03639,10.23277,10
58.06063,8.0104,7
58.05948,8.01112,7
58.08462,8.03051,14
58.07987,7.9747,3
58.02602,7.14222,11
60.37214,6.14702,12
60.36954,6.25749,12
60.37361,6.26025,12
60.3736,6.2633,12
58.09392,7.99714,35
58.07425,8.00627,5
58.06194,8.00733,7
58.06307,8.00855,7
58.06488,8.00986,7
60.46497,5.04455,19
58.50614,8.91641,2
58.06438,8.01392,7
58.07401,8.00639,5
58.06596,8.01125,7
58.01677,7.42875,6
58.00836,7.48314,16
60.08032,5.19808,3
57.99285,7.3516,1
57.99351,7.3492,1
58.02428,7.26617,3
57.96958,7.50165,17
58.01158,7.48217,3
58.01135,7.48313,3
58.10887,8.11716,4
58.10773,7.99482,70
58.30056,8.58144,5
58.02527,7.17528,8
57.9846,7.61301,110
58.00896,7.49004,55
58.00868,7.48843,55
58.43408,8.78168,6
58.09293,6.8139,1
58.06063,7.75534,74
58.06355,7.87303,3
58.06315,7.86963,3
58.42236,8.79516,7
58.03919,7.76304,3
58.04089,7.76371,3
58.06318,7.87069,3
58.06324,7.87551,3
58.06191,7.86901,3
58.1411,8.05205,32
58.04276,7.72545,42
57.99172,7.33052,5
58.60803,9.07287,15
58.06216,7.79358,1
58.02693,6.99057,6
58.02734,6.99147,6
58.02747,6.99146,6
58.02826,6.99004,6
58.12376,8.24033,3
58.14136,8.01726,2
58.14136,8.01731,2
58.14185,8.02002,2
58.14116,8.02002,2
58.10914,8.19287,5
58.10839,8.19116,5
58.10773,8.19436,5
58.10971,8.19395,5
58.111,8.19675,5
58.12066,7.04725,7
58.0249,7.27161,3
58.06025,7.86735,7
57.99133,7.49435,12
57.99101,7.49502,11
58.01723,7.37384,6
58.01837,7.48436,4
58.01802,7.48441,4
58.14166,8.02387,80
58.6342,9.15261,5
58.06976,8.03334,2
58.0173,7.37331,6
58.07079,8.04351,1
58.04256,7.72604,42
58.01947,7.81926,5
57.99827,7.21153,6
59.87202,10.75071,2
58.08398,8.09913,4
58.12052,8.05796,1
58.0095,7.62554,2
58.43983,8.78299,2
58.43829,8.78353,2
58.14141,8.02098,2
58.14164,8.02124,2
58.11141,8.19336,5
58.07678,8.06332,3
58.54124,8.98849,10
58.54077,8.98897,10
58.13598,8.05196,32
58.53764,8.99162,11
58.07462,8.0234,1
60.42266,6.23155,5
58.05701,7.7812,4
58.04857,7.72105,56
58.05724,7.76178,18
58.08155,7.92345,8
58.06965,7.76963,2
58.51256,8.94156,9
58.01525,7.6803,3
59.65681,10.60459,4
58.10727,7.99436,15
58.05206,7.81177,3
58.12662,8.04473,2
58.29353,8.55292,6
58.33298,8.60036,2
58.0848,6.8128,6
58.06881,7.8822,8
58.07018,7.87311,8
58.05634,7.74087,1
58.06313,7.79438,1
58.06433,7.79464,1
58.06443,7.79532,1
58.10847,8.12612,1
58.04112,7.70073,11
58.00355,7.43838,5
58.00427,7.43818,5
59.72226,10.56109,4
58.98094,5.74322,20
58.04704,7.81562,8
58.13693,8.05271,32
58.13494,8.04964,32
58.33681,8.59635,6
58.10821,7.99762,15
58.08701,7.93697,7
58.08445,6.81041,6
58.05005,7.78331,3
58.09005,6.82529,3
58.03714,7.15442,16
58.07487,7.93209,119
58.06504,7.79643,1
58.04243,7.70183,11
58.05641,7.79293,8
58.06922,7.88191,8
58.0788,7.9862,1
58.12041,8.05668,2
58.05899,7.79841,48
58.04342,7.66406,2
58.05233,7.76268,39
58.00892,7.62562,2
58.11659,8.07598,2
58.02701,7.2372,6
58.02964,7.23363,6
58.41944,8.77228,60
58.04679,7.75609,15
58.33891,8.62272,18
58.04731,7.76518,30
60.36855,6.26783,29
58.02425,7.24965,9
58.03056,7.15014,58
58.00884,7.62317,68
58.08526,7.99221,57
57.98893,7.555,55
57.98869,7.555,55
58.98182,5.81852,15
58.00514,7.34241,21
59.00279,5.70943,103
59.0029,5.70944,103
58.06092,8.00815,7
58.61462,9.03617,44
60.0815,5.43984,11
58.09348,7.99319,5
58.07816,8.09126,4
58.01904,7.67304,3
58.10449,8.14294,1
58.08187,8.045,3
58.12833,8.01178,2
58.04573,7.70004,2
58.52073,8.98309,1
58.00148,7.61746,35
58.03907,7.78221,8
58.46067,8.77451,2
58.3331,8.66506,6
58.05256,7.76346,39
58.14426,8.03604,8
58.07386,8.04295,1
58.60896,9.07556,15
58.07239,8.04475,1
58.12001,8.07336,2
58.05498,7.86174,1
58.07069,8.04206,1
58.12918,8.04575,2
58.33374,8.64554,4
58.05792,7.78839,4
58.08226,7.92576,8
58.07018,6.83629,4
58.05529,6.97561,3
58.05156,7.81163,3
58.0515,7.81295,3
58.05036,7.71157,2
58.10765,7.99559,70
58.07433,8.00833,5
58.07838,7.97539,60
58.34075,8.59844,2
58.02289,7.76248,8
58.10401,8.13671,44
58.10452,8.13731,44
58.06231,8.01334,7
58.05928,8.0102,7
58.06,8.00928,7
58.05963,8.00992,7
58.04989,7.78331,3
58.04962,7.7825,3
58.11401,8.10606,7
58.0749,8.01719,14
58.08028,7.97484,10
61.09137,6.58882,6
61.17368,6.62882,6
61.0458,6.4261,5
58.07676,7.98727,11
58.08472,8.03129,14
58.07675,7.98762,14
58.07676,7.988,14
58.23131,8.41803,14
60.70569,4.88313,5
60.70587,4.88294,5
60.60543,4.94749,5
60.5904,4.94555,5
59.78547,5.5109,8
60.36843,6.26738,12
60.37008,6.25857,12
58.51203,8.93942,7
58.24743,8.45873,4
58.33499,8.60074,55
58.43639,8.79801,55
58.07906,8.00732,22
58.07947,8.00656,22
58.07532,7.92023,5
58.08386,6.80759,5
58.14247,8.02756,80
58.09019,7.93054,9
58.14555,8.03647,8
58.0575,7.79302,8
58.09556,7.9915,34
58.09513,7.98891,34
58.09544,7.991,34
59.41235,5.24367,2
58.06202,7.83279,2
58.06973,7.87577,8
58.10767,7.99884,15
60.53814,4.96721,8
58.05632,7.74428,7
58.05911,7.79596,48
58.12911,8.04496,2
58.9869,5.8067,3
58.00398,7.7397,3
57.98431,7.60182,56
58.52073,8.96174,12
58.00248,7.40444,2
58.0078,7.62886,25
58.0083,7.63312,75
57.99024,7.34979,2
58.10393,8.08206,1
58.00241,7.40671,2
58.03253,7.70098,15
58.04946,7.74937,11
58.00431,7.73126,3
59.57229,5.28662,6
58.05615,7.795,48
57.97769,7.55924,46
57.98364,7.59953,56
59.19748,10.55371,8
58.08597,8.0987,4
58.08644,8.0992,4
58.42292,8.79505,7
58.08914,8.04148,3
57.98521,7.56636,2
58.14308,8.04173,4
58.29473,8.55376,6
58.29405,8.55768,6
58.02732,6.9899,6
58.14219,8.03758,4
58.13768,8.04487,5
58.02485,7.27041,3
58.0244,7.27252,3
58.02448,7.2703,3
58.01571,7.46935,6
58.29807,6.66369,1
58.0803,7.93209,7
58.09027,6.80785,13
57.99983,7.38177,3
57.99966,7.38215,3
58.01844,7.48412,4
57.99534,7.35748,6
57.99541,7.35752,6
58.42809,8.77644,7
58.42796,8.77645,7
